  10   365   100     7
 niva_oxydep_Oxy niva_oxydep_Phy niva_oxydep_NUT niva_oxydep_POM niva_oxydep_DOM niva_oxydep_Het niva_oxydep_cod_CHON
 i  k Depth  t   s   Kz  hz Vol  y y T M M t d_CHON
    1    1   1.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1    2   3.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1    3   5.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1    4   7.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1    5   9.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1    6  11.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1    7  13.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1    8  15.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1    9  17.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   10  19.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   11  21.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   12  23.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   13  25.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   14  27.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   15  29.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   16  31.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   17  33.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   18  35.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   19  37.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   20  39.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000 ****************
    1   21  41.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   22  43.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   23  45.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   24  47.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   25  49.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   26  51.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   27  53.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   28  55.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   29  57.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   30  59.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   31  61.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   32  63.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   33  65.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   34  67.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   35  69.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   36  71.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   37  73.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   38  75.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   39  77.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   40  79.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   41  81.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   42  83.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   43  85.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   44  87.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   45  89.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   46  91.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   47  93.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   48  95.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   49  97.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
    1   50  99.0000     0.000000000     0.000000000     0.000000000     2.000000000     0.000000000    200.000000000      0.010000000      5.000000000      0.010000000      0.000000000      0.010000000      0.000000000
